date,open,high,low,close,volume
09/07/1986,2.1793,2.1793,2.1526,2.1526,884400
10/07/1986,2.1442,2.1442,2.1273,2.1273,1910000
11/07/1986,2.0921,2.0921,2.0739,2.0739,1452200
14/07/1986,1.9867,1.9867,1.9684,1.9684,1773800
15/07/1986,2.0387,2.0387,2.0218,2.0218,2320000
16/07/1986,2.109,2.109,2.0921,2.0921,1979600
17/07/1986,2.1273,2.1273,2.109,2.109,1827200
18/07/1986,2.0739,2.0739,2.057,2.057,2280000
21/07/1986,2.0387,2.0387,2.0218,2.0218,856400
22/07/1986,2.0387,2.0387,2.0218,2.0218,832600
23/07/1986,2.057,2.057,2.0387,2.0387,1968200
24/07/1986,2.0036,2.0036,1.9867,1.9867,1641200
25/07/1986,2.0218,2.0218,2.0036,2.0036,938400
28/07/1986,2.0036,2.0036,1.9867,1.9867,889800
29/07/1986,2.0036,2.0036,1.9867,1.9867,874200
30/07/1986,2.0387,2.0387,2.0218,2.0218,1258200
31/07/1986,2.0218,2.0218,2.0036,2.0036,694400
01/08/1986,2.0036,2.0036,1.9867,1.9867,707800
04/08/1986,1.9684,1.9684,1.9684,1.9684,1040200
05/08/1986,2.0036,2.0036,1.9867,1.9867,1495200
06/08/1986,1.9684,1.9684,1.9515,1.9515,1519200
07/08/1986,1.9684,1.9684,1.9515,1.9515,724800
08/08/1986,1.9867,1.9867,1.9684,1.9684,776400
11/08/1986,2.0387,2.0387,2.0218,2.0218,1100600
12/08/1986,2.0921,2.0921,2.0739,2.0739,2340000
13/08/1986,2.0921,2.0921,2.0739,2.0739,1670200
14/08/1986,2.0921,2.0921,2.0739,2.0739,828000
15/08/1986,2.0921,2.0921,2.0739,2.0739,1348400
18/08/1986,2.0739,2.0739,2.057,2.057,940400
19/08/1986,1.9867,1.9867,1.9684,1.9684,3300000
20/08/1986,2.0218,2.0218,2.0036,2.0036,5700000
21/08/1986,1.9867,1.9867,1.9684,1.9684,2400000
22/08/1986,1.9867,1.9867,1.9684,1.9684,977400
25/08/1986,1.9684,1.9684,1.9515,1.9515,525000
26/08/1986,2.0036,2.0036,1.9867,1.9867,1625200
27/08/1986,2.0387,2.0387,2.0218,2.0218,1945600
28/08/1986,2.0387,2.0387,2.0218,2.0218,200000
29/08/1986,2.057,2.057,2.0387,2.0387,202000
02/09/1986,2.057,2.057,2.0387,2.0387,1488400
03/09/1986,2.1442,2.1442,2.1273,2.1273,29200
04/09/1986,2.2327,2.2327,2.2145,2.2145,42600
05/09/1986,2.1793,2.1793,2.1624,2.1624,1790000
08/09/1986,2.109,2.109,2.0921,2.0921,1797800
09/09/1986,2.0921,2.0921,2.0739,2.0739,320000
10/09/1986,2.0739,2.0739,2.057,2.057,1928200
11/09/1986,1.9684,1.9684,1.9515,1.9515,1926800
12/09/1986,1.9333,1.9333,1.9164,1.9164,4020000
15/09/1986,1.9684,1.9684,1.9515,1.9515,8200000
16/09/1986,1.9515,1.9515,1.9333,1.9333,3220000
17/09/1986,2.0218,2.0218,1.9867,1.9867,2220000
18/09/1986,2.0036,2.0036,1.9867,1.9867,2560000
19/09/1986,2.0218,2.0218,2.0036,2.0036,2980000
22/09/1986,2.0036,2.0036,1.9867,1.9867,617600
23/09/1986,1.9684,1.9684,1.9515,1.9515,690600
24/09/1986,1.9333,1.9333,1.9164,1.9164,1606200
25/09/1986,1.863,1.863,1.8461,1.8461,2230000
26/09/1986,1.8812,1.8812,1.863,1.863,1589600
29/09/1986,1.8461,1.8461,1.8278,1.8278,808800
30/09/1986,1.9164,1.9164,1.8981,1.8981,1108200
01/10/1986,1.9684,1.9684,1.9515,1.9515,1613000
02/10/1986,1.9164,1.9164,1.8981,1.8981,1750400
03/10/1986,1.8981,1.8981,1.8812,1.8812,782000
06/10/1986,1.9164,1.9164,1.8981,1.8981,1132600
07/10/1986,1.9164,1.9164,1.8981,1.8981,580800
08/10/1986,1.8981,1.8981,1.8812,1.8812,580800
09/10/1986,1.8981,1.8981,1.8812,1.8812,1162000
10/10/1986,1.863,1.863,1.8461,1.8461,1223200
13/10/1986,1.8812,1.8812,1.863,1.863,1639400
14/10/1986,1.8812,1.8812,1.863,1.863,2540000
15/10/1986,1.9333,1.9333,1.9164,1.9164,2780000
16/10/1986,1.9333,1.9333,1.9164,1.9164,2780000
17/10/1986,1.9164,1.9164,1.8981,1.8981,1571600
20/10/1986,1.8981,1.8981,1.8812,1.8812,1607200
21/10/1986,1.8981,1.8981,1.8812,1.8812,961800
22/10/1986,1.8812,1.8812,1.863,1.863,1304600
23/10/1986,1.8812,1.8812,1.863,1.863,1183400
24/10/1986,1.8278,1.8278,1.8109,1.8109,1694000
27/10/1986,1.7927,1.7927,1.7758,1.7758,1760400
28/10/1986,1.8278,1.8278,1.8109,1.8109,3460000
29/10/1986,1.863,1.863,1.8461,1.8461,1970800
30/10/1986,1.8981,1.8981,1.8812,1.8812,2444000
31/10/1986,1.8812,1.8812,1.863,1.863,2440000
03/11/1986,1.8981,1.8981,1.8812,1.8812,1862000
04/11/1986,1.8812,1.8812,1.863,1.863,2440000
05/11/1986,1.863,1.863,1.8461,1.8461,1145000
06/11/1986,1.8461,1.8461,1.8278,1.8278,1428400
07/11/1986,1.8461,1.8461,1.8278,1.8278,1188400
10/11/1986,1.8812,1.8812,1.863,1.863,1452400
11/11/1986,1.8981,1.8981,1.863,1.863,1341800
12/11/1986,1.863,1.863,1.8461,1.8461,1795400
13/11/1986,1.863,1.863,1.8461,1.8461,1957800
14/11/1986,1.863,1.863,1.8461,1.8461,792400
17/11/1986,1.8278,1.8278,1.8109,1.8109,1155600
18/11/1986,1.7927,1.7927,1.7758,1.7758,1155600
19/11/1986,1.8109,1.8109,1.7927,1.7927,1719000
20/11/1986,1.8109,1.8109,1.7927,1.7927,694800
21/11/1986,1.8516,1.8516,1.8346,1.8346,1773600
24/11/1986,1.8516,1.8516,1.8346,1.8346,1052400
25/11/1986,1.8346,1.8346,1.816,1.816,1463000
26/11/1986,1.8346,1.8346,1.816,1.816,1269400
28/11/1986,1.8873,1.8873,1.8702,1.8702,1820800
01/12/1986,1.8702,1.8702,1.8516,1.8516,884000
02/12/1986,1.9058,1.9058,1.8873,1.8873,1707400
03/12/1986,1.8702,1.8702,1.8516,1.8516,1423000
04/12/1986,1.8516,1.8516,1.8346,1.8346,1158800
05/12/1986,1.8346,1.8346,1.816,1.816,1072800
08/12/1986,1.8702,1.8702,1.8516,1.8516,2440000
09/12/1986,1.9058,1.9058,1.8873,1.8873,1950200
10/12/1986,1.9414,1.9414,1.9229,1.9229,1872600
