date,open,high,low,close,volume
07/11/1996,15.7256,15.7917,15.5618,15.7256,83800
08/11/1996,15.76,15.8261,15.5618,15.76,23600
11/11/1996,15.9582,16.056,15.76,15.9582,19800
12/11/1996,15.8261,15.9899,15.7256,15.8261,70200
13/11/1996,15.7917,15.8578,15.5935,15.7917,24200
14/11/1996,15.6939,15.7917,15.5935,15.6939,43600
15/11/1996,15.8261,15.8578,15.6939,15.8261,22800
18/11/1996,15.76,15.7917,15.5618,15.76,94000
19/11/1996,15.6279,15.6596,15.3953,15.6279,75200
20/11/1996,15.5935,15.6596,15.4613,15.5935,197600
21/11/1996,15.5618,15.6596,15.4296,15.5618,50600
22/11/1996,15.6596,15.7256,15.4957,15.6596,53000
25/11/1996,15.5274,15.6596,15.4613,15.5274,33800
26/11/1996,15.3953,15.4957,15.2975,15.3953,217800
27/11/1996,15.4613,15.5274,15.2975,15.4613,38600
29/11/1996,15.4296,15.5618,15.3292,15.4296,17200
02/12/1996,15.3292,15.3953,15.131,15.3292,32000
03/12/1996,15.4296,15.4613,15.0649,15.4296,89800
04/12/1996,15.2631,15.4825,15.2314,15.2631,70200
05/12/1996,15.3953,15.5618,15.1653,15.3953,36200
06/12/1996,15.131,15.3292,15.0649,15.131,62000
09/12/1996,15.2314,15.2631,15.0332,15.2314,144400
10/12/1996,15.3953,15.5935,15.131,15.3953,77600
11/12/1996,15.4296,15.5618,15.0649,15.4296,36200
12/12/1996,15.4296,15.4296,15.1971,15.4296,74000
13/12/1996,15.3292,15.3292,14.9988,15.3292,51200
16/12/1996,15.3953,15.3953,15.0993,15.3953,159800
17/12/1996,15.3636,15.3636,15.131,15.3636,300400
18/12/1996,15.2631,15.2975,14.9909,15.2631,431400
19/12/1996,14.901,14.9988,14.7689,14.901,248800
20/12/1996,14.901,14.9671,14.7345,14.901,171400
23/12/1996,14.8667,14.901,14.6685,14.8667,420400
24/12/1996,14.7689,14.8667,14.5363,14.7689,353400
26/12/1996,14.7345,14.835,14.5707,14.7345,237800
27/12/1996,14.8006,14.901,14.6367,14.8006,316400
30/12/1996,15.131,15.131,15.0649,15.131,377000
31/12/1996,15.1971,15.2631,14.9328,15.1971,152400
02/01/1997,15.0993,15.1971,14.9671,15.0993,404200
03/01/1997,14.9988,15.131,14.8508,14.9988,680400
06/01/1997,14.9671,15.0649,14.835,14.9671,394800
07/01/1997,14.9988,15.0649,14.8006,14.9988,535200
08/01/1997,14.9671,15.131,14.8667,14.9671,1305000
09/01/1997,15.0649,15.131,14.901,15.0649,541000
10/01/1997,14.9671,15.0332,14.7345,14.9671,726800
13/01/1997,15.0649,15.131,14.8667,15.0649,1122400
14/01/1997,15.0649,15.1653,14.9328,15.0649,1002000
15/01/1997,14.9988,15.0993,14.8799,14.9988,1361800
16/01/1997,14.9671,15.0649,14.835,14.9671,1157400
17/01/1997,14.7689,15.0649,14.5707,14.7689,1368800
20/01/1997,14.5046,14.6367,14.272,14.5046,773000
21/01/1997,14.4385,14.5707,13.7117,14.4385,2858200
22/01/1997,14.6367,14.6685,14.272,14.6367,1609400
23/01/1997,14.7689,14.9328,14.6685,14.7689,2936000
24/01/1997,14.9328,14.9671,14.6024,14.9328,473000
27/01/1997,14.9328,15.0332,14.6024,14.9328,1432000
28/01/1997,15.0332,15.0649,14.6685,15.0332,1258200
29/01/1997,14.9988,15.0332,14.8667,14.9988,1600400
30/01/1997,15.094,15.1971,14.272,15.094,687800
31/01/1997,15.2314,15.2975,14.3724,15.2314,497800
03/02/1997,15.4957,15.5274,15.131,15.4957,334000
04/02/1997,15.4613,15.4957,15.2975,15.4613,688600
05/02/1997,15.3953,15.5618,15.2631,15.3953,410600
06/02/1997,15.5935,15.7256,14.8667,15.5935,1082000
07/02/1997,15.5618,15.8208,15.4613,15.5618,1433000
10/02/1997,15.8578,15.9899,15.7256,15.8578,450800
11/02/1997,16.1564,16.1882,15.8578,16.1564,546200
12/02/1997,16.056,16.1221,15.8922,16.056,1197600
13/02/1997,15.9582,16.1882,15.7256,15.9582,2004800
14/02/1997,15.9239,16.1221,15.7256,15.9239,1170400
18/02/1997,15.8922,15.9582,14.8667,15.8922,1565200
19/02/1997,15.9582,16.1882,15.8155,15.9582,2674800
20/02/1997,16.0507,16.2542,15.9582,16.0507,1933600
21/02/1997,16.1353,16.2542,15.9582,16.1353,941000
24/02/1997,16.1882,16.1882,15.8922,16.1882,831000
25/02/1997,16.1882,16.2542,15.9582,16.1882,757200
26/02/1997,16.25,16.529,16.1468,16.25,387800
27/02/1997,16.2165,16.4258,16.0073,16.2165,368200
28/02/1997,16.077,16.2863,15.7981,16.077,297800
03/03/1997,15.971,16.0408,15.3796,15.971,441000
04/03/1997,15.9878,16.4258,15.8678,15.9878,333400
05/03/1997,16.25,16.3198,16.0073,16.25,621200
06/03/1997,16.4955,16.5652,16.3198,16.4955,469000
07/03/1997,16.7745,16.8442,16.3895,16.7745,777600
10/03/1997,17.1232,17.1567,16.6685,17.1232,366600
11/03/1997,17.0172,17.2264,16.7382,17.0172,269200
12/03/1997,17.2627,17.2627,16.8777,17.2627,290400
13/03/1997,16.7382,16.9837,16.635,16.7382,425400
14/03/1997,16.914,16.914,16.635,16.914,269000
17/03/1997,16.7047,16.8079,16.4258,16.7047,345200
18/03/1997,16.8079,17.0172,16.635,16.8079,683800
19/03/1997,16.9474,17.0172,16.8079,16.9474,419400
20/03/1997,16.5429,16.8777,16.3895,16.5429,1479600
21/03/1997,16.4955,16.5652,16.3198,16.4955,417800
24/03/1997,16.4592,16.5067,16.3198,16.4592,610600
25/03/1997,16.8079,17.0172,16.5987,16.8079,330200
26/03/1997,17.1567,17.1567,16.8777,17.1567,654000
27/03/1997,17.2627,17.3324,17.0534,17.2627,325400
31/03/1997,17.1232,17.2961,16.914,17.1232,274600
01/04/1997,16.914,17.1567,16.7382,16.914,426400
02/04/1997,16.6685,16.8777,16.6685,16.6685,399800
03/04/1997,16.7047,16.8777,16.5987,16.7047,370600
04/04/1997,16.8079,16.8777,15.8316,16.8079,397600
07/04/1997,16.914,16.9474,16.6685,16.914,573400
08/04/1997,16.7382,16.8442,16.529,16.7382,661000
09/04/1997,16.7745,16.9837,16.6685,16.7745,571000
10/04/1997,16.7047,16.914,16.635,16.7047,1309600
11/04/1997,16.7382,16.8442,16.476,16.7382,917800
14/04/1997,16.635,16.8442,16.529,16.635,1559200
15/04/1997,16.8777,17.2627,16.7745,16.8777,1564000
16/04/1997,16.8663,16.8663,16.8663,16.8663,564600
17/04/1997,17.3592,17.6042,17.1507,17.3592,473600
18/04/1997,18.2014,18.238,17.8155,18.2014,489200
21/04/1997,18.1309,18.3084,17.8859,18.1309,1145600
22/04/1997,18.1676,18.2014,17.8859,18.1676,646200
23/04/1997,18.0971,18.1676,17.8521,18.0971,399200
24/04/1997,18.4126,18.5901,18.0183,18.4126,734600
