date,open,high,low,close,volume
02/01/1970,0.447,0.4482,0.4358,0.4358,1195200
05/01/1970,0.4358,0.4371,0.4247,0.4253,964800
06/01/1970,0.4253,0.4333,0.4234,0.4333,1036800
07/01/1970,0.4333,0.4346,0.4302,0.4315,331200
08/01/1970,0.4315,0.4383,0.4315,0.4346,460800
09/01/1970,0.4371,0.4433,0.4371,0.4371,748800
12/01/1970,0.4371,0.4371,0.4296,0.4296,864000
13/01/1970,0.4309,0.4371,0.4309,0.4333,849600
14/01/1970,0.4333,0.4408,0.4333,0.4396,619200
15/01/1970,0.4396,0.4408,0.4389,0.4402,1209600
16/01/1970,0.4402,0.4402,0.4383,0.4396,734400
19/01/1970,0.4389,0.4389,0.4333,0.434,1180800
20/01/1970,0.434,0.434,0.4265,0.434,763200
21/01/1970,0.434,0.4358,0.4327,0.4358,878400
22/01/1970,0.4358,0.4371,0.4333,0.4371,360000
23/01/1970,0.4371,0.4383,0.434,0.4346,979200
26/01/1970,0.4346,0.4346,0.4321,0.4346,979200
27/01/1970,0.4327,0.4327,0.4296,0.4296,532800
28/01/1970,0.4259,0.4259,0.406,0.406,1497600
29/01/1970,0.4048,0.4048,0.3837,0.3973,3585600
30/01/1970,0.3924,0.3924,0.3849,0.3924,2808000
02/02/1970,0.3967,0.4122,0.3967,0.4122,1612800
03/02/1970,0.4122,0.4296,0.4098,0.4098,2692800
04/02/1970,0.4054,0.4054,0.3868,0.3917,2793600
05/02/1970,0.3917,0.4098,0.3905,0.4098,1886400
06/02/1970,0.4073,0.4073,0.4023,0.4048,705600
09/02/1970,0.4147,0.4259,0.4147,0.4228,1684800
10/02/1970,0.4296,0.4346,0.4296,0.4309,2505600
11/02/1970,0.4296,0.4296,0.4253,0.4271,2232000
12/02/1970,0.4271,0.4271,0.4088,0.4116,3369600
13/02/1970,0.41,0.41,0.3973,0.4023,1540800
16/02/1970,0.403,0.4049,0.4021,0.4021,820800
17/02/1970,0.4021,0.4024,0.3906,0.3943,1915200
18/02/1970,0.3956,0.3987,0.3956,0.3975,878400
19/02/1970,0.3975,0.3975,0.3937,0.3946,576000
20/02/1970,0.3937,0.3937,0.3856,0.3872,1396800
24/02/1970,0.3872,0.3887,0.3763,0.3788,3744000
25/02/1970,0.3788,0.3931,0.3769,0.3931,2822400
26/02/1970,0.3894,0.3894,0.3813,0.3856,1353600
27/02/1970,0.3881,0.3981,0.3881,0.3965,1627200
02/03/1970,0.3965,0.4024,0.3931,0.3931,1051200
03/03/1970,0.3931,0.3937,0.3869,0.3937,1468800
04/03/1970,0.3937,0.4006,0.3937,0.3975,734400
05/03/1970,0.3975,0.3987,0.3956,0.3968,892800
06/03/1970,0.3968,0.3968,0.39,0.3912,907200
09/03/1970,0.39,0.39,0.3869,0.3887,273600
10/03/1970,0.3869,0.3869,0.3822,0.3856,1353600
11/03/1970,0.3856,0.3906,0.3844,0.3887,432000
12/03/1970,0.3891,0.3919,0.3891,0.39,388800
13/03/1970,0.3881,0.3881,0.3856,0.3856,1339200
16/03/1970,0.3856,0.3856,0.3788,0.3794,806400
17/03/1970,0.3794,0.3807,0.3775,0.3775,1267200
18/03/1970,0.3782,0.3813,0.3782,0.3813,748800
19/03/1970,0.3825,0.3844,0.3825,0.3825,1123200
20/03/1970,0.3825,0.3825,0.38,0.3825,518400
23/03/1970,0.3819,0.3819,0.3782,0.3794,216000
24/03/1970,0.3791,0.3791,0.3732,0.3772,1670400
25/03/1970,0.3807,0.3943,0.3807,0.3894,2275200
26/03/1970,0.3894,0.3919,0.3881,0.3894,936000
30/03/1970,0.3894,0.3912,0.3869,0.3875,1368000
31/03/1970,0.3856,0.3856,0.3819,0.3844,676800
01/04/1970,0.3831,0.3831,0.3807,0.3816,820800
02/04/1970,0.3794,0.3794,0.3744,0.3754,792000
03/04/1970,0.3754,0.3775,0.3754,0.3769,1008000
06/04/1970,0.3769,0.3788,0.3664,0.367,2275200
07/04/1970,0.3664,0.3664,0.3558,0.3564,1526400
08/04/1970,0.3564,0.357,0.3539,0.3558,734400
09/04/1970,0.3558,0.3645,0.3558,0.3639,820800
10/04/1970,0.3639,0.3695,0.3623,0.3632,3312000
13/04/1970,0.3632,0.3632,0.3583,0.3608,878400
14/04/1970,0.3608,0.367,0.3558,0.3664,835200
15/04/1970,0.3664,0.3726,0.3657,0.3682,2217600
16/04/1970,0.3682,0.3682,0.3639,0.3642,1252800
17/04/1970,0.3642,0.3645,0.3632,0.3639,950400
20/04/1970,0.3639,0.3645,0.3614,0.3632,1425600
21/04/1970,0.3632,0.3657,0.3608,0.3611,518400
22/04/1970,0.3608,0.3608,0.3583,0.3586,561600
23/04/1970,0.3586,0.3589,0.3471,0.348,763200
24/04/1970,0.348,0.3483,0.3461,0.3464,792000
27/04/1970,0.3461,0.3461,0.3421,0.3427,705600
28/04/1970,0.3427,0.3433,0.3408,0.3408,676800
29/04/1970,0.3408,0.3533,0.3346,0.3533,2534400
30/04/1970,0.3533,0.3608,0.3533,0.3558,532800
01/05/1970,0.3558,0.3558,0.3533,0.3539,316800
04/05/1970,0.3496,0.3496,0.3427,0.3427,576000
05/05/1970,0.3415,0.3415,0.339,0.339,950400
06/05/1970,0.339,0.3446,0.339,0.3446,1166400
07/05/1970,0.3458,0.3508,0.3458,0.3496,1137600
08/05/1970,0.3496,0.352,0.3421,0.3446,921600
11/05/1970,0.3399,0.3399,0.3359,0.3359,705600
12/05/1970,0.3359,0.3446,0.3353,0.3384,763200
13/05/1970,0.3371,0.3371,0.3353,0.3362,360000
14/05/1970,0.3362,0.3365,0.3284,0.3328,1094400
15/05/1970,0.3359,0.3483,0.3359,0.3483,676800
18/05/1970,0.362,0.362,0.3527,0.3527,187200
19/05/1970,0.3527,0.3545,0.334,0.334,657600
20/05/1970,0.334,0.3359,0.3293,0.3293,542400
21/05/1970,0.3247,0.3247,0.3107,0.3172,1881600
