date,open,high,low,close,volume
02/01/1970,0.5778,0.5778,0.5689,0.5701,475200
05/01/1970,0.5701,0.574,0.565,0.567,669600
06/01/1970,0.567,0.5714,0.5637,0.5714,568800
07/01/1970,0.5714,0.5765,0.565,0.5663,892800
08/01/1970,0.5676,0.574,0.5676,0.5701,496800
09/01/1970,0.5701,0.5753,0.5637,0.5689,1634400
12/01/1970,0.5689,0.5721,0.5663,0.5689,648000
13/01/1970,0.5689,0.5701,0.5612,0.5676,1159200
14/01/1970,0.5663,0.5663,0.5599,0.5663,525600
15/01/1970,0.5663,0.5714,0.5612,0.5637,1058400
16/01/1970,0.5637,0.5701,0.5586,0.5637,1720800
19/01/1970,0.5612,0.5612,0.5535,0.556,3110400
20/01/1970,0.556,0.5599,0.5548,0.5599,871200
21/01/1970,0.5599,0.5657,0.5586,0.5637,1044000
22/01/1970,0.5612,0.5612,0.556,0.5612,792000
23/01/1970,0.5612,0.5657,0.556,0.5586,972000
26/01/1970,0.5535,0.5535,0.5355,0.5355,1252800
27/01/1970,0.5355,0.5407,0.5291,0.5381,1605600
28/01/1970,0.5355,0.5355,0.5279,0.5291,914400
29/01/1970,0.5291,0.5317,0.5074,0.5227,1216800
30/01/1970,0.5227,0.5368,0.5176,0.5176,1454400
02/02/1970,0.5227,0.5272,0.5227,0.5253,813600
03/02/1970,0.5317,0.5612,0.5317,0.5612,2181600
04/02/1970,0.5586,0.5586,0.5381,0.5458,1476000
05/02/1970,0.5484,0.5528,0.5484,0.5522,489600
06/02/1970,0.5522,0.5528,0.542,0.5458,302400
09/02/1970,0.5496,0.556,0.5496,0.5535,784800
10/02/1970,0.5535,0.5586,0.5496,0.5509,439200
11/02/1970,0.5509,0.5535,0.5484,0.5535,367200
12/02/1970,0.556,0.5625,0.556,0.5573,590400
13/02/1970,0.5599,0.5637,0.5599,0.5625,597600
16/02/1970,0.5625,0.5701,0.5625,0.5657,698400
17/02/1970,0.5657,0.5682,0.5618,0.5643,1641600
18/02/1970,0.5612,0.5612,0.5522,0.5554,1713600
19/02/1970,0.5554,0.5573,0.5515,0.556,921600
20/02/1970,0.556,0.5637,0.5535,0.5625,1274400
24/02/1970,0.565,0.574,0.565,0.5721,770400
25/02/1970,0.5721,0.5753,0.5663,0.5753,1346400
26/02/1970,0.5753,0.5759,0.5612,0.5612,2030400
27/02/1970,0.5612,0.5612,0.5471,0.5586,1447200
02/03/1970,0.5586,0.5625,0.5471,0.5509,583200
03/03/1970,0.5509,0.5548,0.5458,0.5522,1288800
04/03/1970,0.5522,0.556,0.5496,0.5496,792000
05/03/1970,0.5496,0.5535,0.5445,0.5445,532800
06/03/1970,0.5458,0.5484,0.5458,0.5464,432000
09/03/1970,0.5445,0.5445,0.5394,0.542,669600
10/03/1970,0.542,0.5458,0.5227,0.5355,1195200
