date,open,high,low,close,volume
01/06/1972,0.3398,0.34,0.3349,0.34,2332800
02/06/1972,0.34,0.3411,0.3349,0.3359,1531200
05/06/1972,0.3359,0.3369,0.3329,0.3349,2452800
06/06/1972,0.3349,0.3442,0.3339,0.3421,2227200
07/06/1972,0.3421,0.3421,0.3369,0.3421,979200
08/06/1972,0.3421,0.3432,0.34,0.34,1012800
09/06/1972,0.34,0.3432,0.34,0.3421,1483200
12/06/1972,0.3421,0.3483,0.3421,0.3432,1843200
13/06/1972,0.3432,0.3483,0.3411,0.3462,2064000
14/06/1972,0.3462,0.3483,0.3442,0.3462,1963200
15/06/1972,0.3462,0.3493,0.3421,0.3421,2587200
16/06/1972,0.3421,0.3483,0.338,0.3483,2275200
19/06/1972,0.3483,0.3524,0.3472,0.3524,1608000
20/06/1972,0.3524,0.3545,0.3504,0.3545,2212800
21/06/1972,0.3545,0.3565,0.3504,0.3504,1934400
22/06/1972,0.3504,0.3535,0.3472,0.3513,2313600
23/06/1972,0.3513,0.3524,0.3421,0.3504,1406400
26/06/1972,0.3504,0.3504,0.3421,0.3462,1536000
27/06/1972,0.3462,0.3493,0.3421,0.3462,1944000
28/06/1972,0.3452,0.3452,0.3411,0.3432,1248000
29/06/1972,0.3432,0.3483,0.3411,0.3483,1060800
30/06/1972,0.3483,0.3545,0.3472,0.3493,2774400
03/07/1972,0.3493,0.3524,0.3462,0.3504,782400
05/07/1972,0.3524,0.3607,0.3524,0.3565,2755200
06/07/1972,0.3596,0.3648,0.3596,0.3637,3696000
07/07/1972,0.3637,0.3689,0.3616,0.3689,2011200
10/07/1972,0.3689,0.374,0.3679,0.37,2932800
11/07/1972,0.37,0.374,0.37,0.37,2073600
12/07/1972,0.37,0.374,0.3689,0.371,2558400
13/07/1972,0.3689,0.3689,0.3586,0.3607,1056000
14/07/1972,0.3607,0.371,0.3596,0.3689,1502400
17/07/1972,0.3689,0.371,0.3596,0.3658,777600
18/07/1972,0.3648,0.3648,0.3513,0.3616,1449600
19/07/1972,0.3616,0.3668,0.3586,0.3637,2035200
20/07/1972,0.3637,0.3658,0.3576,0.3586,1416000
21/07/1972,0.3586,0.3607,0.3545,0.3607,907200
24/07/1972,0.3607,0.3607,0.3483,0.3524,9235200
25/07/1972,0.3535,0.3616,0.3535,0.3586,2558400
26/07/1972,0.3586,0.3607,0.3565,0.3565,1286400
27/07/1972,0.3565,0.3576,0.3545,0.3545,1075200
28/07/1972,0.3555,0.3576,0.3555,0.3576,1070400
31/07/1972,0.3576,0.3576,0.3545,0.3545,1939200
01/08/1972,0.3545,0.3627,0.3545,0.3616,1713600
02/08/1972,0.3627,0.3679,0.3627,0.3668,2865600
03/08/1972,0.3668,0.3679,0.3596,0.3616,1238400
04/08/1972,0.3616,0.3658,0.3586,0.3637,2035200
07/08/1972,0.3637,0.3648,0.3596,0.3648,1862400
08/08/1972,0.3648,0.3668,0.3627,0.3648,2280000
09/08/1972,0.3648,0.3658,0.3627,0.3658,2352000
10/08/1972,0.3658,0.37,0.3637,0.37,1104000
11/08/1972,0.37,0.3771,0.3679,0.3771,3000000
14/08/1972,0.3771,0.3792,0.374,0.3771,3144000
15/08/1972,0.3771,0.3771,0.373,0.3751,1190400
16/08/1972,0.3751,0.3771,0.37,0.373,1454400
17/08/1972,0.373,0.3782,0.3719,0.374,2587200
18/08/1972,0.373,0.373,0.3668,0.3668,2894400
21/08/1972,0.3668,0.3689,0.3616,0.3668,1228800
22/08/1972,0.3668,0.371,0.3627,0.3648,1358400
23/08/1972,0.3648,0.3689,0.3596,0.3627,1569600
24/08/1972,0.3627,0.3637,0.3545,0.3607,2044800
25/08/1972,0.3607,0.3627,0.3545,0.3565,2678400
28/08/1972,0.3565,0.3596,0.3535,0.3555,1363200
29/08/1972,0.3555,0.3596,0.3535,0.3576,2030400
30/08/1972,0.3576,0.3576,0.3535,0.3555,2116800
31/08/1972,0.3555,0.3565,0.3504,0.3524,2078400
01/09/1972,0.3524,0.3535,0.3483,0.3535,4627200
05/09/1972,0.3535,0.3545,0.3513,0.3545,940800
06/09/1972,0.3535,0.3535,0.3432,0.3452,1819200
07/09/1972,0.3452,0.3462,0.3339,0.3349,2918400
08/09/1972,0.3349,0.3432,0.3349,0.34,1689600
11/09/1972,0.34,0.3411,0.3359,0.338,1320000
12/09/1972,0.338,0.3411,0.3329,0.3329,1416000
13/09/1972,0.3329,0.338,0.3308,0.3369,4056000
14/09/1972,0.3369,0.3411,0.3318,0.3339,1963200
15/09/1972,0.3349,0.34,0.3349,0.339,1099200
18/09/1972,0.339,0.3442,0.3359,0.34,691200
19/09/1972,0.34,0.3472,0.338,0.3442,806400
20/09/1972,0.3442,0.3483,0.34,0.3432,1099200
21/09/1972,0.3432,0.3472,0.3421,0.3442,1272000
22/09/1972,0.3442,0.3462,0.34,0.3411,1224000
25/09/1972,0.3411,0.3411,0.3339,0.338,6451200
26/09/1972,0.338,0.3442,0.3359,0.3442,1915200
27/09/1972,0.3462,0.3524,0.3462,0.3524,1934400
28/09/1972,0.3524,0.3545,0.3472,0.3545,5457600
29/09/1972,0.3545,0.3545,0.3504,0.3535,2160000
02/10/1972,0.3513,0.3513,0.3483,0.3483,2457600
03/10/1972,0.3472,0.3472,0.3411,0.3411,744000
04/10/1972,0.3411,0.3472,0.339,0.3411,1824000
05/10/1972,0.3359,0.3359,0.3266,0.3288,7838400
06/10/1972,0.3288,0.3359,0.3277,0.3349,2280000
09/10/1972,0.3349,0.3359,0.3329,0.3329,936000
10/10/1972,0.3329,0.34,0.3318,0.3359,1339200
11/10/1972,0.3359,0.339,0.3308,0.3349,1944000
12/10/1972,0.3349,0.3349,0.3297,0.3318,3067200
13/10/1972,0.3318,0.3318,0.3266,0.3277,2865600
16/10/1972,0.3277,0.3308,0.3245,0.3256,1732800
17/10/1972,0.3256,0.3288,0.3256,0.3288,2692800
18/10/1972,0.3288,0.3339,0.3215,0.3245,3868800
19/10/1972,0.3245,0.3277,0.3225,0.3277,1507200
20/10/1972,0.3277,0.3369,0.3245,0.3359,1176000
