date,open,high,low,close,volume
01/07/2002,17.7088,17.732,17.2443,17.2849,196800
02/07/2002,17.1282,17.1398,16.6056,16.7508,54500
03/07/2002,16.8379,17.0062,16.4314,16.6056,61900
05/07/2002,17.5056,17.6507,17.5056,17.6507,11700
08/07/2002,18.1094,18.3184,17.9701,18.1442,77400
09/07/2002,17.9875,18.1442,17.7668,18.1442,17700
10/07/2002,17.7088,17.7552,17.0701,17.1862,129000
11/07/2002,16.3269,16.6637,16.1411,16.5475,165100
12/07/2002,16.5359,16.5359,16.0831,16.0831,36600
15/07/2002,16.7508,17.0701,15.6186,15.8624,145500
16/07/2002,16.025,16.2863,15.5895,16.1701,123700
17/07/2002,16.4024,16.9482,16.3153,16.7217,50700
18/07/2002,17.0701,17.5346,17.0701,17.4185,213700
19/07/2002,17.0643,17.3894,16.9424,17.012,472600
22/07/2002,16.3327,16.4546,15.9669,16.2572,80700
23/07/2002,15.0089,15.4153,14.9044,15.0437,223500
24/07/2002,14.8347,15.7347,14.4573,15.7347,60800
25/07/2002,15.6011,15.7637,15.0379,15.3283,113000
26/07/2002,15.1541,15.5953,15.1541,15.5953,12200
29/07/2002,16.4024,17.2443,16.4024,17.1456,66800
30/07/2002,16.8088,17.4359,16.8088,17.2733,37300
31/07/2002,17.0701,17.1862,16.6695,17.012,79400
01/08/2002,17.2443,17.2443,16.5475,16.6637,21500
02/08/2002,16.954,17.1282,16.7217,16.7217,23800
05/08/2002,17.3023,17.3894,16.6753,16.6753,221500
06/08/2002,16.7798,17.6507,16.7798,17.5346,143200
07/08/2002,18.1036,18.3475,18.0513,18.3475,150900
08/08/2002,17.7959,18.2313,17.6797,18.1152,31300
09/08/2002,17.6797,18.7539,17.6797,18.6378,105800
12/08/2002,18.0629,18.4113,17.7668,18.3358,153900
13/08/2002,18.0978,19.0442,18.0862,18.4636,157700
14/08/2002,18.51,18.7481,18.0571,18.6261,119000
15/08/2002,18.5216,18.6668,18.3765,18.4926,48700
16/08/2002,18.3765,18.7539,18.272,18.5797,77400
19/08/2002,18.1152,18.6958,18.1152,18.5739,36900
20/08/2002,17.7088,17.8017,17.5927,17.5927,24800
21/08/2002,17.912,18.0513,17.6797,18.0281,68700
22/08/2002,17.9352,18.4055,17.7668,18.2952,59200
23/08/2002,17.7959,17.9642,17.761,17.9526,122100
26/08/2002,18.0571,18.2255,17.3604,17.5636,37300
27/08/2002,17.6101,18.2313,17.5927,17.9991,18200
28/08/2002,17.4765,17.581,17.3023,17.4765,27700
29/08/2002,16.9249,17.2269,16.8379,17.0701,54100
30/08/2002,17.1049,17.6797,17.0701,17.6507,92000
03/09/2002,15.8508,15.8508,15.3863,15.7057,124400
04/09/2002,15.9089,16.3734,15.9089,16.3734,84300
05/09/2002,15.8218,16.6056,15.6186,16.1179,77700
06/09/2002,16.2572,16.7856,16.1818,16.774,60700
09/09/2002,16.3559,16.6056,16.3153,16.5592,222700
10/09/2002,16.594,16.9133,16.594,16.8843,199200
11/09/2002,17.7378,17.7378,17.5056,17.5346,186900
12/09/2002,17.1282,17.1456,16.8669,16.983,207300
13/09/2002,16.5766,16.6056,16.025,16.3792,218700
16/09/2002,16.3501,16.5475,16.1121,16.5185,78600
17/09/2002,16.4488,16.4895,16.2572,16.4024,15900
18/09/2002,16.1992,16.4024,15.9902,16.2282,42000
19/09/2002,15.4734,16.054,15.4734,15.7347,61100
20/09/2002,16.0134,16.1701,15.5605,15.9147,14200
23/09/2002,15.4211,15.4734,15.067,15.3573,109100
24/09/2002,14.7186,15.3863,14.7186,15.2121,62300
25/09/2002,15.6766,16.1121,15.5024,15.9669,73000
26/09/2002,16.3734,16.954,16.0424,16.7914,34500
27/09/2002,16.5359,16.8669,16.2572,16.4314,99300
30/09/2002,16.3211,16.7217,16.0598,16.5475,215600
01/10/2002,16.8669,17.5752,16.745,17.552,262200
02/10/2002,17.4127,17.9352,17.3314,17.3314,92100
03/10/2002,17.3604,17.7088,17.0991,17.2733,23800
04/10/2002,16.8669,16.954,16.594,16.6927,48500
07/10/2002,16.4895,16.6056,16.2863,16.2863,37100
08/10/2002,16.6056,16.7217,16.3153,16.6985,96800
09/10/2002,16.5301,16.8088,16.4721,16.594,38500
10/10/2002,16.3676,17.2501,16.3443,17.2443,113700
11/10/2002,16.9888,17.6275,16.6927,17.2559,172800
14/10/2002,17.3314,17.6565,17.3314,17.5288,114200
15/10/2002,17.7959,18.3358,17.6914,18.3068,91600
